barcode,title,year,format,poster_path,status
,Cult of Chucky,2017,Blu-ray,https://image.tmdb.org/t/p/w200/r5JUiMYfatwYeDkxkLWYUx5GIjY.jpg,owned
,Curse of Chucky,2013,Blu-ray,https://image.tmdb.org/t/p/w200/x9DzkDWp8O82Wzxk6otuD9bce9a.jpg,owned
,The Da Vinci Code,2006,Blu-ray,https://image.tmdb.org/t/p/w200/9ejKfNk0LBhSI9AahH4f9NJNZNM.jpg,owned
,Daddy's Home,2015,Blu-ray,https://image.tmdb.org/t/p/w200/fB9lALk9zKsMYWvf0bJSkJN219Z.jpg,owned
,Daddy's Home 2,2017,Blu-ray,https://image.tmdb.org/t/p/w200/rF2IoKL0IFmumEXQFUuB8LajTYP.jpg,owned
,Dad's Army,2016,Blu-ray,https://image.tmdb.org/t/p/w200/6MnhydfF3L97zJ0GlukE58kOByo.jpg,owned
,Daleks' Invasion Earth: 2150 A.D.,1966,DVD,https://image.tmdb.org/t/p/w200/y5l0DjqEaqPLkP4A7yaj1a3FXI0.jpg,owned
,Dallas Buyers Club,2013,Blu-ray,https://image.tmdb.org/t/p/w200/7Fdh7gUq3plvQqxRbNYhWvDABXA.jpg,owned
,Daredevil,2003,Blu-ray,https://image.tmdb.org/t/p/w200/oCDBwSkntYamuw8VJIxMRCtDBmi.jpg,owned
,The Dark Knight,2008,Blu-ray,https://image.tmdb.org/t/p/w200/qJ2tW6WMUDux911r6m7haRef0WH.jpg,owned
,The Dark Knight Rises,2012,Blu-ray,https://image.tmdb.org/t/p/w200/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,owned
,Dark Phoenix,2019,Blu-ray,https://image.tmdb.org/t/p/w200/cCTJPelKGLhALq3r51A9uMonxKj.jpg,owned
,Darkest Hour,2017,Blu-ray,https://image.tmdb.org/t/p/w200/xa6G3aKlysQeVg9wOb0dRcIGlWu.jpg,owned
,David Brent: Life on the Road,2016,Blu-ray,https://image.tmdb.org/t/p/w200/lhUKeZj7VlWAtavAzTLwClDWSpI.jpg,owned
,Dawn of the Planet of the Apes,2014,Blu-ray,https://image.tmdb.org/t/p/w200/kScdQEwS9jPEdnO23XjGAtaoRcT.jpg,owned
,The Day After Tomorrow,2004,Blu-ray,https://image.tmdb.org/t/p/w200/Wr4HeYQRvwVCxzOV5TmGE7UkXq.jpg,owned
,The Day the Earth Stood Still,2008,Blu-ray,https://image.tmdb.org/t/p/w200/vBgFSYmG5tb7GsZ3tHR0WNaWaxA.jpg,owned
,Deadpool,2016,Blu-ray,https://image.tmdb.org/t/p/w200/3E53WEZJqP6aM84D8CckXx4pIHw.jpg,owned
,Deadpool 2,2018,Blu-ray,https://image.tmdb.org/t/p/w200/to0spRl1CMDvyUbOnbb4fTk3VAd.jpg,owned
,Deadpool & Wolverine,2024,Blu-ray,https://image.tmdb.org/t/p/w200/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,owned
,The Death of Stalin,2017,Blu-ray,https://image.tmdb.org/t/p/w200/AqH7q89NxGRDAyRWKqsL3OBtYfV.jpg,owned
,Despicable Me,2010,Blu-ray,https://image.tmdb.org/t/p/w200/9lOloREsAhBu0pEtU0BgeR1rHyo.jpg,owned
,Despicable Me 2,2013,Blu-ray,https://image.tmdb.org/t/p/w200/oyMPJJZoOpLHgJoFPUOn6DgkbWJ.jpg,owned
,Despicable Me 3,2017,Blu-ray,https://image.tmdb.org/t/p/w200/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg,owned
,Despicable Me 4,2024,Blu-ray,https://image.tmdb.org/t/p/w200/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,owned
,Devil's Due,2014,Blu-ray,https://image.tmdb.org/t/p/w200/56zW5kl6b10UNIXpQZTUXV2iygC.jpg,owned
,Diamonds Are Forever,1971,Blu-ray,https://image.tmdb.org/t/p/w200/uajiHcFX5sOhYB2tBuWkmizbtuU.jpg,owned
,The Dictator,2012,Blu-ray,https://image.tmdb.org/t/p/w200/n0W7kajF4GFMRk2c0wWwMQqTaDM.jpg,owned
,Die Another Day,2002,Blu-ray,https://image.tmdb.org/t/p/w200/bZmGqOhMhaLn8AoFMvFDct4tbrL.jpg,owned
,Die Hard,1988,Blu-ray,https://image.tmdb.org/t/p/w200/aJCpHDC6RoGz7d1Fzayl019xnxX.jpg,owned
,Die Hard 2,1990,Blu-ray,https://image.tmdb.org/t/p/w200/ybki0UWO3OPhaM6MSniuKC7sy1R.jpg,owned
,Die Hard: With a Vengeance,1995,Blu-ray,https://image.tmdb.org/t/p/w200/buqmCdFQEWwEpL3agGgg2GVjN2d.jpg,owned
,The Dilemma,2011,Blu-ray,https://image.tmdb.org/t/p/w200/a7EVBTqeh6NoCFDW24qIp11kyi9.jpg,owned
,Dirty Dancing,1987,Blu-ray,https://image.tmdb.org/t/p/w200/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg,owned
,Disaster Movie,2008,Blu-ray,https://image.tmdb.org/t/p/w200/3J8XKUfhJiNzwobUZVtizXYPe8b.jpg,owned
,District 9,2009,Blu-ray,https://image.tmdb.org/t/p/w200/tuGlQkqLxnodDSk6mp5c2wvxUEd.jpg,owned
,Django Unchained,2012,Blu-ray,https://image.tmdb.org/t/p/w200/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,owned
,Doctor Strange,2016,Blu-ray,https://image.tmdb.org/t/p/w200/xf8PbyQcR5ucXErmZNzdKR0s8ya.jpg,owned
,Doctor Strange in the Multiverse of Madness,2022,Blu-ray,https://image.tmdb.org/t/p/w200/ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg,owned
,DodgeBall: A True Underdog Story,2004,Blu-ray,https://image.tmdb.org/t/p/w200/r8KbNHkkwFXLjV1suGwm0Qjure5.jpg,owned
,Doubt,2008,Blu-ray,https://image.tmdb.org/t/p/w200/9lypT2ghNuUPYVJf66oe4fKvUqI.jpg,owned
,Dr. No,1962,Blu-ray,https://image.tmdb.org/t/p/w200/f9HsemSsBEHN5eoMble1bj6fDxs.jpg,owned
,Dr. Who and the Daleks,1965,DVD,https://image.tmdb.org/t/p/w200/qhCHlQFb3DoI0JcofRdN8F1PBSh.jpg,owned
,Dracula Untold,2014,Blu-ray,https://image.tmdb.org/t/p/w200/m5h3NtZ2ZfryIHl1MvatmANvIqQ.jpg,owned
,Drive,2011,Blu-ray,https://image.tmdb.org/t/p/w200/602vevIURmpDfzbnv5Ubi6wIkQm.jpg,owned
